jour,taux_posiv_glissant
2020-09-01,4.009830458893188
2020-09-02,4.176422508869488
2020-09-03,4.355880891057792
2020-09-04,4.511046962696843
2020-09-05,4.568010137833949
2020-09-06,4.578884770223552
2020-09-07,4.719040473652406
2020-09-08,4.774333725976492
2020-09-09,4.794744083023764
2020-09-10,4.793298836827773
2020-09-11,4.729597230433969
2020-09-12,4.731655541043697
2020-09-13,4.736115737876553
2020-09-14,4.807282077419318
2020-09-15,4.855870793373651
2020-09-16,4.970357401846881
2020-09-17,5.113470013627776
2020-09-18,5.314474855007162
2020-09-19,5.39248118798172
2020-09-20,5.406822536714402
2020-09-21,5.601678385816968
2020-09-22,5.85168434669334
2020-09-23,6.021063668301996
2020-09-24,6.1372343004930086
2020-09-25,6.230366405079415
2020-09-26,6.248338809845817
2020-09-27,6.247323322418671
2020-09-28,6.21347206274499
2020-09-29,6.214620787540721
2020-09-30,6.324603043959906
2020-10-01,6.5629858353017765
2020-10-02,6.939146001234333
2020-10-03,7.130561875116291
2020-10-04,7.172787508761474
2020-10-05,7.7478767943905815
2020-10-06,8.226884281006344
2020-10-07,8.703304063740392
2020-10-08,9.108696950988787
2020-10-09,9.389646255028415
2020-10-10,9.539669863849989
2020-10-11,9.587616326937951
2020-10-12,9.947693231178597
2020-10-13,10.185456491478687
2020-10-14,10.29540138053141
2020-10-15,10.459101831300375
2020-10-16,10.657340984421872
2020-10-17,10.737773800434312
2020-10-18,10.778767776019837
2020-10-19,11.240081508601497
2020-10-20,11.873905001079361
2020-10-21,12.565311093604267
2020-10-22,13.247269247124208
2020-10-23,13.955288335715982
2020-10-24,14.291253325201424
2020-10-25,14.376930751636358
2020-10-26,15.037690085846844
2020-10-27,15.412990177549368
2020-10-28,15.559585573785506
2020-10-29,15.582140634576733
2020-10-30,15.562938405164891
2020-10-31,15.542463458089054
2020-11-01,15.52919900758394
2020-11-02,15.465637201898586
2020-11-03,15.30948848793173
2020-11-04,15.094219547085794
2020-11-05,14.728256414839816
2020-11-06,14.266968658717582
2020-11-07,14.041602464600533
2020-11-08,13.991190225345266
2020-11-09,13.209074555753913
2020-11-10,12.348612981309902
2020-11-11,11.923616192061377
2020-11-12,11.371115002316953
2020-11-13,10.86064373828857
2020-11-14,10.64362117390182
2020-11-15,10.59386605419338
2020-11-16,10.006162029142386
2020-11-17,9.559574234333462
2020-11-18,9.32621055261179
2020-11-19,8.769410365710135
2020-11-20,8.2558791985397
2020-11-21,8.04792720078224
2020-11-22,7.997593243891782
2020-11-23,7.383139540949789
2020-11-24,7.012407242322234
2020-11-25,6.7544709006926595
2020-11-26,6.564526718657422
2020-11-27,6.39662860045529
2020-11-28,6.331556094810168
2020-11-29,6.316547058460653
2020-11-30,6.25524039858764
2020-12-01,6.218998445800024
2020-12-02,6.199435310147215
2020-12-03,6.200302344462391
2020-12-04,6.220110978438894
2020-12-05,6.231459104573013
2020-12-06,6.230765406106036
2020-12-07,6.207906221583929
2020-12-08,6.146026068941467
2020-12-09,6.114373533931894
2020-12-10,6.11056672795268
2020-12-11,6.068517914140818
2020-12-12,6.037555699412395
2020-12-13,6.023154600283538
2020-12-14,5.923071443835031
2020-12-15,5.754931333319928
2020-12-16,5.459437823823013
2020-12-17,5.066646297641634
2020-12-18,4.609579852057486
2020-12-19,4.325997619525766
2020-12-20,4.241723973523587
2020-12-21,3.756167150111623
2020-12-22,3.3241866974328196
2020-12-23,2.997091093317048
2020-12-24,2.8341942780162737
2020-12-25,2.7373597037207644
2020-12-26,2.808620267796969
2020-12-27,2.823351339531292
2020-12-28,3.164617647236466
2020-12-29,3.748754106023659
2020-12-30,4.522558284268366
2020-12-31,5.1078448377152
