jour,taux_incid_glissant
2020-09-01,65.96886433501187
2020-09-02,69.54332634607213
2020-09-03,73.06861901725539
2020-09-04,76.7652593880101
2020-09-05,78.30738868415322
2020-09-06,78.53386564358681
2020-09-07,82.67452005323103
2020-09-08,86.8524239627821
2020-09-09,90.21828877436405
2020-09-10,93.61395318587151
2020-09-11,95.39596926141468
2020-09-12,96.06348029974524
2020-09-13,96.20353841939495
2020-09-14,99.87484913021301
2020-09-15,102.63578206330791
2020-09-16,105.77665989545257
2020-09-17,108.27237638921078
2020-09-18,111.21210692185853
2020-09-19,112.27148269920902
2020-09-20,112.62609793832212
2020-09-21,113.9640999749758
2020-09-22,114.9772863724418
2020-09-23,114.25464607424914
2020-09-24,112.76764603796812
2020-09-25,111.31044560161259
2020-09-26,110.69806382314415
2020-09-27,110.07823214469435
2020-09-28,107.26514991172986
2020-09-29,105.16874805697296
2020-09-30,105.72898053557182
2020-10-01,108.56739242847296
2020-10-02,114.40364407387649
2020-10-03,117.99300588489949
2020-10-04,118.87358406269716
2020-10-05,130.35387993398496
2020-10-06,140.5855725683955
2020-10-07,151.56970510092415
2020-10-08,163.31670739154492
2020-10-09,175.01752030228118
2020-10-10,181.10855852704748
2020-10-11,182.93676398247516
2020-10-12,198.17031946437604
2020-10-13,211.4266714912219
2020-10-14,223.42995034120167
2020-10-15,237.54304086590486
2020-10-16,251.70530073048502
2020-10-17,257.60562151572833
2020-10-18,259.79589211025046
2020-10-19,279.83612306012986
2020-10-20,303.0664011820309
2020-10-21,329.428617256099
2020-10-22,357.27038346646674
2020-10-23,389.2125746265794
2020-10-24,403.75179943021675
2020-10-25,407.62723740052434
2020-10-26,442.4287001734859
2020-10-27,467.84179898992767
2020-10-28,483.06343463185834
2020-10-29,490.8426201924026
2020-10-30,495.63588584041463
2020-10-31,497.3061534162373
2020-11-01,496.716121337713
2020-11-02,498.31486987371454
2020-11-03,494.531810663176
2020-11-04,484.04384146940635
2020-11-05,469.07252246684965
2020-11-06,446.2788084838567
2020-11-07,431.9168912997759
2020-11-08,427.58253949061606
